Price,Close,High,Low,Open,Volume
Ticker,GE,GE,GE,GE,GE
Date,,,,,
2003-11-06,79.50535583496094,79.50535583496094,78.41509340850965,79.11397752527452,3289057
2003-11-07,78.61077880859375,79.95264095308751,78.4430516035496,79.78491374804337,3755563
2003-11-10,78.75057983398438,78.94626459585757,78.52693756303483,78.91831598761186,2929178
2003-11-11,78.58283233642578,78.80648347592052,78.19146286917609,78.69465345575847,3290726
2003-11-12,80.23221588134766,80.51177315259707,78.55489005551128,78.61079616926311,4932855
2003-11-13,79.225830078125,80.31609293737688,78.69467295406706,79.95267198429292,5203490
2003-11-14,77.93982696533203,79.05804654069088,77.85595448912308,78.97417406448193,5745135
2003-11-17,77.744140625,80.65151535064392,76.5140998682192,77.35276240223774,4903747
2003-11-18,79.50535583496094,80.84721796758008,79.39353473231168,79.4494408332223,8574697
2003-11-19,82.38473510742188,82.55247115134601,80.93105239616216,81.07083094929479,9369011
2003-11-20,80.9310531616211,82.35678729639898,80.48376890802602,81.40629490627208,5092920
2003-11-21,79.84082794189453,83.72663616447505,79.75696433087228,81.29451133736843,5206557
2003-11-24,80.37199401855469,80.90314214963864,80.00857312851619,80.53972125960014,3812862
2003-11-25,80.81925964355469,81.35041655134978,80.00855443239772,80.42788133785452,3404739
2003-11-26,80.42791748046875,81.43431674714446,79.75699056990625,81.37841062168022,3158622
2003-11-28,80.14833068847656,80.79129977813375,80.0924156889441,80.65153008095797,1746961
2003-12-01,81.15471649169922,81.65791585887695,80.45583243765336,81.62996726134382,4137707
2003-12-02,82.41273498535156,82.41273498535156,80.93109402125161,81.15473626095925,5050749
2003-12-03,82.52454376220703,83.02774317670162,81.96543824656197,82.72023736830386,5230449
2003-12-04,81.49017333984375,82.60839295644583,81.35039477516528,82.18905726241046,4094201
2003-12-05,81.35042572021484,82.18908852648062,81.09882598825222,81.51815294097062,2862009
2003-12-08,82.10518646240234,82.21700752414482,81.49016617240636,81.49016617240636,3145998
2003-12-09,82.63639831542969,83.33529161892365,82.30093487025161,82.46867104325649,5150302
2003-12-10,83.08365631103516,83.08365631103516,82.58045690785202,82.88796270933734,4778111
2003-12-11,84.98461151123047,85.18030508434933,83.13955026928645,83.13955026928645,5982259
2003-12-12,84.17391204833984,85.1243957786752,83.72661878049067,84.64915391350752,4298230
2003-12-15,84.78893280029297,85.54373184790587,84.17391234307067,85.51577434966232,5631665
2003-12-16,85.68350982666016,86.10284563839932,84.45346879321896,85.0405407098194,5364598
2003-12-17,85.90717315673828,85.90717315673828,85.09645891885553,85.6835220181583,4520330
2003-12-18,86.24261474609375,86.41034193165844,85.9071514741373,86.29852084100628,5087870
2003-12-19,86.35445404052734,86.66195987943715,85.29214900498123,86.35445404052734,5278274
2003-12-22,86.66195678710938,86.66195678710938,85.90716651823494,86.10285123593783,3395245
